Date,Open,High,Low,Close,Volume
2018-04-22,12478.99,12640.25,12375.63,12540.5,424589653
2018-04-29,12538.16,12647.16,12312.27,12580.87,530852849
2018-05-06,12606.27,12827.54,12563.74,12819.6,411142015
2018-05-13,12827.43,13034.21,12813.55,13001.24,430786363
2018-05-20,13009.83,13133.19,12918.29,13077.72,520681021
2018-05-27,13132.56,13204.31,12801.82,12938.01,474939361
2018-06-03,13016.55,13040.63,12547.61,12724.27,673180118
2018-06-10,12839.44,12925.24,12610.68,12766.55,522429395
2018-06-17,12816.32,13170.05,12751.66,13010.55,728458326
2018-06-24,12945.53,12982.92,12472.98,12579.72,486904051
2018-07-01,12497.48,12518.89,12104.41,12306,559123687
2018-07-08,12147.94,12516.51,12132.72,12496.17,514603161
2018-07-15,12542.25,12639.79,12398.47,12540.73,406125582
2018-07-22,12530.98,12778.96,12469.5,12561.42,472266377
2018-07-29,12510.23,12886.83,12489.33,12860.4,451390671
2018-08-05,12822.87,12860.59,12493.2,12615.76,471667855
2018-08-12,12631.4,12738.53,12390.4,12424.35,446401555
2018-08-19,12346.75,12461.82,12120.65,12210.55,454634795
2018-08-26,12263.01,12444.35,12245.56,12394.52,338162076
2018-09-02,12462.75,12597.02,12348.91,12364.06,356013278
2018-09-09,12338.36,12402.87,11888.57,11959.63,444936733
2018-09-16,11950.55,12134.54,11865.47,12124.33,471417464
2018-09-23,12056.38,12458.3,12040.8,12430.88,773846682
2018-09-30,12383.42,12456.69,12190.57,12246.73,482821366
2018-10-07,12265.89,12373.29,12103.55,12111.9,386557882
2018-10-14,12044.96,12072.27,11514.55,11523.81,544432084
2018-10-21,11523.81,11847.79,11459.08,11553.83,516317884
2018-10-28,11665.68,11677.45,11051.04,11200.62,586526332
2018-11-04,11270.67,11689.96,11212.58,11518.99,571158749
2018-11-11,11522.33,11648.79,11418.35,11529.16,484368750
2018-11-18,11591.59,11598.51,11233.21,11341,554357116
2018-11-25,11384,11419.55,11009.25,11192.69,442219162
2018-12-02,11315.9,11403.06,11208.6,11257.24,477428528
2018-12-09,11534.75,11566.97,10762.41,10788.09,535959575
2018-12-16,10726.17,10988.77,10585.77,10865.77,562138463
2018-12-23,10852.99,10886.8,10512.64,10633.82,692879285
2018-12-30,10607.42,10635.45,10279.2,10558.96,176078479
2019-01-06,10477.77,10786.34,10386.97,10767.69,290502931
2019-01-13,10814.39,10961.92,10681.27,10887.46,457284390
2019-01-20,10820.85,11216.82,10786.75,11205.54,479013427
2019-01-27,11176.12,11321.62,11007.21,11281.79,477252664
2019-02-03,11233.16,11311.37,11051.11,11180.66,471424934
2019-02-10,11180.42,11371.74,10863.56,10906.78,466483988
2019-02-17,10955.83,11323.05,10944.58,11299.8,452530314
2019-02-24,11287.74,11504.71,11244.52,11457.7,374498086
2019-03-03,11517.76,11676.86,11419.4,11601.68,432508561
